**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.002442053094548645


Parameters with uncertainties
-0.071418  +/-  6381744089.381387
0.190261  +/-  6341965154.089468
1.797466  +/-  6894278366.982841
-1.815289  +/-  4865933308.280522
-2.687558  +/-  5762575574.140619
-1.27795  +/-  8708441973.370104
-0.1317  +/-  7105980377.350101
-0.0  +/-  7419568226.351059
0.0  +/-  7124196778.422979
0.0  +/-  6089076890.851534
1.143574  +/-  6731255506.442338
1.277913  +/-  5500008474.87438
1.21516  +/-  5158829075.118497
1.105006  +/-  6014268065.478531
0.96019  +/-  5714092389.107412
0.788931  +/-  5495936899.381465
0.596716  +/-  6014374658.817335
0.387727  +/-  5191320935.443853
0.166144  +/-  5454844727.678006
0.0  +/-  6748102768.893053
0.0  +/-  6047336651.001652
0.0  +/-  7102606683.616345
-0.0  +/-  7405038964.284714
-0.0  +/-  7111297155.921106
-0.695185  +/-  8723418566.596888
-0.590648  +/-  6041165280.31557
-0.027967  +/-  5006349801.092749
0.164437  +/-  6385450602.738302
1.572973  +/-  3086362738.077188
-1.095728  +/-  3379753149.605633
-2.631531  +/-  7306864723.028967
-1.412018  +/-  8461789097.41235
-0.322313  +/-  4638814121.854971
-0.0  +/-  6379329421.007963
-0.0  +/-  6919593105.268546
0.0  +/-  5637957254.768414
0.33994  +/-  6442336917.241188
1.183171  +/-  5470403057.720529
1.151805  +/-  4231101692.494262
1.073542  +/-  5451031177.376836
0.961019  +/-  5845229129.263229
0.822368  +/-  5542400067.21032
0.662823  +/-  5604066562.614415
0.48596  +/-  5490743451.092727
0.294749  +/-  4233083981.430339
0.092618  +/-  5452870174.916379
0.0  +/-  6476566111.872716
0.0  +/-  5635813374.133459
0.0  +/-  6913903136.903502
-0.0  +/-  6373736206.287377
-0.0  +/-  4633021158.768286
-0.62296  +/-  8455554723.167888
-0.537792  +/-  7285041078.83213
-0.0  +/-  3639308849.646558
0.14488  +/-  3609661205.531928
1.33862  +/-  3135608535.522486
-0.409646  +/-  6005185261.521312
-2.54465  +/-  8141458865.716478
-1.510164  +/-  7574159643.460334
-0.48288  +/-  3354680452.663038
-0.0  +/-  5588886521.445676
-0.0  +/-  6230021262.281239
0.0  +/-  4593550463.960229
0.0  +/-  4998014241.331891
0.661121  +/-  4635899270.932833
1.080218  +/-  2935734327.512373
1.028924  +/-  3443161273.425516
0.944058  +/-  4205738059.10768
0.833698  +/-  3698869530.05934
0.702973  +/-  3626847697.857666
0.555157  +/-  4262657935.249485
0.392558  +/-  3450777361.600312
0.217344  +/-  2939190024.204698
0.032439  +/-  4622009827.9456
0.0  +/-  4921850983.849109
0.0  +/-  4568270792.966321
0.0  +/-  6228612362.03127
-0.0  +/-  5573726440.759745
-0.0  +/-  3361161676.824607
-0.538188  +/-  7561441065.977015
-0.49089  +/-  8126041091.419315
-0.0  +/-  6066373360.393104
0.136963  +/-  3181752249.125
1.095711  +/-  7746380350.070856
-0.0  +/-  8871654215.833483
-2.152445  +/-  7482670609.185444
-1.587359  +/-  7178699495.078603
-0.621902  +/-  7313119655.195482
-0.0  +/-  8106604126.799191
-0.0  +/-  7392193108.274512
-0.0  +/-  6374770184.170328
0.0  +/-  5858288294.493628
0.0  +/-  6026200074.59637
0.837027  +/-  5867481073.451982
0.975746  +/-  5335194661.203539
0.914443  +/-  5366085977.095192
0.828436  +/-  5050503284.866015
0.722827  +/-  4588527690.95348
0.600767  +/-  5095177004.701819
0.464232  +/-  5340652007.500999
0.314691  +/-  5320980392.833613
0.153777  +/-  5766120566.937401
0.0  +/-  6043373715.590001
